center_id,name,address,state_name,district_name,block_name,pincode,from,to,lat,long,fee_type,session_id,date,available_capacity,available_capacity_dose1,available_capacity_dose2,fee,allow_all_age,min_age_limit,vaccine,max_age_limit
603190,CURI Hospital,148 Old Mahabalipuram Rd Seevaram Oggiyamduraipakkam Tamil Nadu,Tamil Nadu,Chennai,Sholinganallur,600096,10:00:00,14:00:00,12,80,Paid,d5b047ee-8eb9-4179-b82f-690f0701235d,21-08-2021,209,132,77,780,TRUE,18,COVISHIELD,NA
733787,ESI AYANAVARAM - WP CVC,53 Medavakkam Tank Rd Thiruvalluvar Nagar Dr Ambedkar Nagar,Tamil Nadu,Chennai,Anna Nagar,600023,09:00:00,18:00:00,13,80,Free,5ce82a6b-1ecc-42d5-ad1e-c63004662203,21-08-2021,0,0,0,0,TRUE,18,COVISHIELD,NA
632061,LAMFER HEALTHCARE LAB,21 First Floor Fist Main Road (Above SRI Tyres Nanganallur Chennai Tamil Nadu 600061,Tamil Nadu,Chennai,Alandur,600061,10:30:00,13:30:00,12,80,Paid,4e9dc268-e8d6-44ee-856a-11e048e8276c,21-08-2021,23,17,6,780,FALSE,18,COVISHIELD,44
698444,Kavery Hospital - WP,199 LUZ CHURCH RD KAPALI THOTTAM MYLAPORE CHENNAI,Tamil Nadu,Chennai,Teynampet,600004,09:00:00,18:00:00,13,80,Paid,32ebf00e-e992-4c03-845e-1e295c7830f1,21-08-2021,0,0,0,0,FALSE,45,COVISHIELD,NA
627109,Kavery Hospital,199 LUZ CHURCH RD KAPALI THOTTAM MYLAPORE CHENNAI,Tamil Nadu,Chennai,Teynampet,600004,08:00:00,12:00:00,13,80,Paid,3f043f47-676a-427f-9ed6-396bc54de405,21-08-2021,371,182,189,1410,FALSE,18,COVAXIN,44
705747,TataConsultancyServices Kavery,41521-24 Kumaran Nagar Old Mahabalipuram Rd TNHB Sholinganallur Chennai,Tamil Nadu,Chennai,Teynampet,600119,09:00:00,18:00:00,12,80,Paid,913a3cf7-4e5a-424e-ac6d-35cf480a2f01,21-08-2021,0,0,0,0,FALSE,45,COVISHIELD,NA
753599,GOV PERIPHAL PERIYAR NAG WP,GHKarthikeyan Road Periyar Nagar West PeramburChennai,Tamil Nadu,Chennai,TVK Nagar bv,600082,09:00:00,18:00:00,13,80,Free,eb9d68bc-7480-4e72-9ee7-d5a9ff9254c2,21-08-2021,0,0,0,0,TRUE,18,COVISHIELD,NA
698444,Kavery Hospital - WP,199 LUZ CHURCH RD KAPALI THOTTAM MYLAPORE CHENNAI,Tamil Nadu,Chennai,Teynampet,600004,09:00:00,18:00:00,13,80,Paid,e6a49336-7e71-4430-a0b1-6194c41591de,21-08-2021,0,0,0,0,FALSE,45,SPUTNIK V,NA
698444,Kavery Hospital - WP,199 LUZ CHURCH RD KAPALI THOTTAM MYLAPORE CHENNAI,Tamil Nadu,Chennai,Teynampet,600004,09:00:00,18:00:00,13,80,Paid,e2eceba6-e349-4f7c-8a3b-072f64882185,21-08-2021,0,0,0,0,FALSE,45,COVAXIN,NA
603362,Apollo Spec Hosp,5-639 Old Mahabalipuram Rd Tirumalai Nagar Perungudi Chennai,Tamil Nadu,Chennai,Perungudi,600096,09:00:00,15:30:00,12,80,Paid,2df403ff-b5fc-4018-9706-3b13d09bcaad,21-08-2021,41,36,5,780,TRUE,18,COVISHIELD,NA
603197,Prime Indian Hospital,Prime Indian Hospitals Pvt Ltd Chennai TN.,Tamil Nadu,Chennai,Anna Nagar,600106,09:00:00,13:30:00,13,80,Paid,f694c202-47ed-449d-92f2-5aea13106e6a,21-08-2021,192,99,93,780,TRUE,18,COVISHIELD,NA
609559,Rainbow Childrens Medicare,No 157 Anna Salai Guindy Chennai 600015,Tamil Nadu,Chennai,Adyar,600015,09:30:00,14:00:00,13,80,Paid,f5307f36-1799-4cef-8519-f4cf0423b5ca,21-08-2021,378,190,188,1410,FALSE,45,COVAXIN,NA
765405,APOLLO MEDICAL CENTRE -T NAGAR,11Sivaprakasam Street Pondybazaar Tnagar Chennai,Tamil Nadu,Chennai,Teynampet,600017,10:30:00,17:00:00,13,80,Paid,7b969305-82a7-4acc-be1a-f22b95cb1e38,21-08-2021,43,22,21,1410,TRUE,18,COVAXIN,NA
632061,LAMFER HEALTHCARE LAB,21 First Floor Fist Main Road (Above SRI Tyres Nanganallur Chennai Tamil Nadu 600061,Tamil Nadu,Chennai,Alandur,600061,10:00:00,13:00:00,12,80,Paid,ad5a8a26-b99d-4eac-89cc-0b8710a686b6,21-08-2021,18,9,9,780,FALSE,45,COVISHIELD,NA
604136,MMRV Hospital,No.5PC 2 Bharathi Salai Mogappair West,Tamil Nadu,Chennai,Ambattur,600037,10:30:00,16:00:00,13,80,Paid,8ce7652c-a3ce-4888-b25a-58b7c0739ff1,21-08-2021,1,1,0,780,TRUE,18,COVISHIELD,NA
580742,Medway Hospitals,2 26 1st Main Rd United India Colony Kodambakkam Chennai,Tamil Nadu,Chennai,Kodambakkam,600024,09:00:00,15:00:00,13,80,Paid,6a9610c0-b910-4119-977b-7f478d8c0148,21-08-2021,387,194,193,780,FALSE,18,COVISHIELD,44
627374,APOLLO CLINIC MADIPAKAM,NO 74 MEDAVAKKAM MAIN ROAD BHARATHI NAGAR MADIPAKKAM,Tamil Nadu,Chennai,Perungudi,600091,09:00:00,11:30:00,12,80,Paid,1eeb8f86-36b0-4481-b478-a4d5de48977a,21-08-2021,12,10,2,1410,TRUE,18,COVAXIN,NA
609559,Rainbow Childrens Medicare,No 157 Anna Salai Guindy Chennai 600015,Tamil Nadu,Chennai,Adyar,600015,13:30:00,16:00:00,13,80,Paid,b520081b-aab6-4bc5-96f1-1caa4e83e2d8,21-08-2021,196,98,98,780,FALSE,45,COVISHIELD,NA
